Anglican Nonconformist
Anglophilia Anglophobia
Anglophobia Anglophilia
Arabic_numeral Roman_numeral
Arianism Athanasianism
Athanasianism Arianism
CISC RISC
Cryptogamia Phanerogamae
Heaven Hell
Hell Heaven
Lady Lord
Lord Lady
Nonconformist Anglican
Phanerogamae Cryptogamia
RISC CISC
Roman_numeral Arabic_numeral
Romanticism classicism
a_la_carte table_d'hote
a_posteriori a_priori
a_priori a_posteriori
abactinal actinal
abaxial adaxial
abaxially adaxially
abducent adducent
abduct adduct
abience adience
abient adient
ability inability
able unable
abnormal normal
abnormality normality
abolish establish
aborad orad
aboral oral
above below
abranchiate branchiate
abridged unabridged
abruptness gradualness
absence presence
absent present
absolute relative
absolve blame
absorb emit
absorbable adsorbable
absorbency nonabsorbency
absorbent nonabsorbent
abstain consume
abstemious gluttonous
abstract concrete
abstractly concretely
abstractness concreteness
abundance scarcity
abundant scarce
abused unabused
acarpelous carpellate
acatalectic catalectic
acatalectic hypercatalectic
acaudate caudate
acaulescent caulescent
accelerate decelerate
acceleration deceleration
accentual quantitative
accentual syllabic
accept refuse
accept reject
acceptability unacceptability
acceptable unacceptable
acceptably unacceptably
acceptance rejection
acceptive rejective
accessibility inaccessibility
accessible inaccessible
accidentally deliberately
accommodating unaccommodating
accompanied unaccompanied
accordant discordant
accrual_basis cash_basis
accuracy inaccuracy
accurate inaccurate
accurately inaccurately
accusatorial inquisitorial
accustomed unaccustomed
achiever loser
achlamydeous chlamydeous
achondritic chondritic
achromatic chromatic
achromatic_color chromatic_color
achromatinic chromatinic
acid-loving alkaline-loving
acidic alkaline
acidic amphoteric
acidify alkalize
acidity alkalinity
acknowledged unacknowledged
acquaintance stranger
acquisitive unacquisitive
acquit convict
acquittal conviction
acrocarp pleurocarp
acrocarpous pleurocarpous
acropetal basipetal
acroscopic basiscopic
act refrain
actable unactable
actinal abactinal
actinomorphic zygomorphic
action inaction
activate inactivate
activation deactivation
activation inactivation
activator inhibitor
active dormant
active extinct
active inactive
active passive
active quiet
active stative
active_trust passive_trust
active_voice passive_voice
actively passively
activeness inactiveness
activity inactivity
actual potential
actual_sin original_sin
acute chronic
acute obtuse
acutely chronically
acuteness obtuseness
acyclic cyclic
adaptability unadaptability
adaptable unadaptable
adaptive maladaptive
adaxial abaxial
adaxially abaxially
add subtract
add take_away
addicted unaddicted
addictive nonaddictive
addition subtraction
additive subtractive
addressed unaddressed
adducent abducent
adduct abduct
adequacy inadequacy
adequate inadequate
adequately inadequately
adhesive nonadhesive
adiabatic diabatic
adience abience
adient abient
adjective substantive
adjusted maladjusted
adjusted unadjusted
admire look_down_on
admissibility inadmissibility
admissible inadmissible
admit deny
admit exclude
admit reject
adnate connate
adoptable unadoptable
adopted native
adoptive biological
adorned unadorned
adroit maladroit
adroitly maladroitly
adscript subscript
adscript superscript
adsorbable absorbable
adsorbent nonadsorbent
adult juvenile
adulterating purifying
advance back
advance recede
advance retreat
advantage disadvantage
advantageous disadvantageous
advantageously disadvantageously
adventurous unadventurous
advertently inadvertently
advisability inadvisability
advisable inadvisable
aerobic anaerobic
aesthetic inaesthetic
aestivate hibernate
afebrile febrile
affected unaffected
affectedness unaffectedness
afferent efferent
affinity consanguinity
affirm negate
affirmation reversal
affirmative negative
affixed unaffixed
afloat aground
afraid unafraid
aft fore
age rejuvenate
aged young
aggrade degrade
aggressive unaggressive
agitate calm
agitated unagitated
agitation calmness
agnostic gnostic
agonist antagonist
agree disagree
agreeable disagreeable
agreeableness disagreeableness
agreeably disagreeably
agreement disagreement
aground afloat
ahead back
ahistorical historical
air-to-air air-to-surface
air-to-air surface-to-air
air-to-surface air-to-air
air-to-surface surface-to-air
air_mail surface_mail
airworthy unairworthy
alarming unalarming
alcoholic nonalcoholic
alert unalert
algorithmic heuristic
alienable inalienable
align skew
aligned nonaligned
alignment nonalignment
alike unalike
aliquant aliquot
aliquot aliquant
alive dead
alkaline acidic
alkaline amphoteric
alkaline-loving acid-loving
alkalinity acidity
alkalize acidify
all no
all some
allochthonous autochthonous
allogamy autogamy
allogeneic xenogeneic
allopathic homeopathic
allopathy homeopathy
allopatric sympatric
allopatry sympatry
allow deny
allow disallow
alphabetic analphabetic
alterability unalterability
alterable unalterable
altered unaltered
alternate opposite
alternating direct
alternating_current direct_current
altricial precocial
altruism egoism
altruistic egoistic
amateur professional
amateurishly expertly
ambidextrous left-handed
ambidextrous right-handed
ambiguity unambiguity
ambiguous unambiguous
ambiguously unambiguously
ambitious unambitious
ambitiously unambitiously
ambiversion extraversion
ambiversion introversion
ambiversive extroversive
ambiversive introversive
amended unamended
ametabolic metabolic
ametropic emmetropic
amicable hostile
amphibious aquatic
amphibious terrestrial
amphitropous anatropous
amphoteric acidic
amphoteric alkaline
ample meager
amply meagerly
anabatic katabatic
anabolic catabolic
anabolism catabolism
anaclinal cataclinal
anadromous catadromous
anadromous diadromous
anaerobic aerobic
anal oral
analogous heterologous
analogous homologous
analogue digital
analphabetic alphabetic
analysis synthesis
analytic synthetic
analyze synthesize
analyzed unanalyzed
anamorphism katamorphism
anaphrodisia aphrodisia
anaphrodisiac aphrodisiac
anapsid diapsid
anastalsis peristalsis
anastigmatic astigmatic
anatropous amphitropous
ancestor descendant
androgynous female
androgynous male
anemophilous entomophilous
anesthetize bring_to
anestrous estrous
anestrus estrus
angry unangry
angular rounded
angularity roundness
anhydrous hydrous
animate inanimate
animated unanimated
animateness inanimateness
anionic cationic
anisotropic isotropic
anisotropy isotropy
annual biennial
annual perennial
anode cathode
anodic cathodic
anonymous onymous
anovulation ovulation
answer question
antagonist agonist
antagonist synergist
antagonistic conciliatory
antagonistic synergistic
antapex apex
antecedent subsequent
antemeridian postmeridian
antemortem postmortem
anterior posterior
anteriority posteriority
anterograde retrograde
anti pro
anti-American pro-American
anticatalyst catalyst
anticholinergic cholinergic
anticlimactic climactic
anticlinal synclinal
anticyclone cyclone
antimagnetic magnetic
antinode node
antipyretic pyretic
antiseptic septic
antitype type
antonym synonym
antonymous synonymous
antrorse retrorse
aperiodic periodic
apetalous petalous
apex antapex
aphelion perihelion
aphrodisia anaphrodisia
aphrodisiac anaphrodisiac
aplacental placental
apoapsis periapsis
apocarpous syncarpous
apocrine eccrine
apogee perigee
apojove perijove
apologetic unapologetic
apolune perilune
apophatism cataphatism
apophatism doctrine_of_analogy
aposelene periselene
appealable unappealable
appealing unappealing
appealingly unappealingly
appear disappear
appearance disappearance
appendaged unappendaged
appetizing unappetizing
appetizingness unappetizingness
applaud boo
applicability inapplicability
applied theoretical
appointive elective
appositeness inappositeness
appreciate depreciate
appreciation depreciation
appreciatively unappreciatively
approachability unapproachability
approachable unapproachable
approbate reprobate
approbation disapprobation
appropriate inappropriate
appropriately inappropriately
appropriateness inappropriateness
approval disapproval
approve disapprove
approvingly disapprovingly
apropos malapropos
apteral peripteral
aptitude inaptitude
aptness inaptness
aquatic amphibious
aquatic terrestrial
aqueous igneous
arbitrable nonarbitrable
arbitrary nonarbitrary
arboreal nonarboreal
arenaceous argillaceous
argillaceous arenaceous
argumentative unargumentative
arise lie_down
arise sit_down
arm disarm
armament disarmament
armed armless
armed unarmed
arming disarming
armless armed
armored unarmored
arrange disarrange
arranged disarranged
arrive leave
artesian subartesian
artful artless
artfulness artlessness
articulate inarticulate
articulated unarticulated
articulately inarticulately
artifact natural_object
artificial natural
artificial_language natural_language
artificially naturally
artless artful
artlessness artfulness
ascend descend
ascending descending
ascending_node descending_node
ascent descent
asexual sexual
ashamed unashamed
ashamedly unashamedly
asleep awake
assemble disassemble
assembly disassembly
assent dissent
assertive unassertive
assertively unassertively
asset liability
assigned unassigned
assimilate dissimilate
assisted unassisted
associate dissociate
association disassociation
associative nonassociative
assortative_mating disassortative_mating
astigmatic anastigmatic
astigmatism stigmatism
astomatous stomatous
astringent nonastringent
asymmetrical symmetrical
asymmetrically symmetrically
asymmetry symmetry
asynchronism synchronism
asynchronous synchronous
asynchronous_operation synchronous_operation
asyndetic syndetic
at_best at_worst
at_least at_most
at_most at_least
at_the_least at_the_most
at_the_most at_the_least
at_worst at_best
atheism theism
atomism holism
atomistic holistic
atonal tonal
atonality tonality
atonic tonic
atonicity tonicity
atrophied hypertrophied
attach detach
attachable detachable
attached detached
attached unattached
attack defend
attend miss
attend_to neglect
attendance nonattendance
attention inattention
attentive inattentive
attentiveness inattentiveness
attract repel
attraction repulsion
attractive repulsive
attractive unattractive
attractively unattractively
attractiveness unattractiveness
attributable unattributable
attributive predicative
atypical typical
atypicality typicality
atypically typically
audibility inaudibility
audible inaudible
audibly inaudibly
augmentation diminution
aunt uncle
auspicious inauspicious
auspiciously inauspiciously
auspiciousness inauspiciousness
authorized unauthorized
autochthonous allochthonous
autoecious heteroecious
autogamous endogamous
autogamous exogamous
autogamy allogamy
autogenous heterogenous
autologous heterologous
autologous homologous
automatic manual
autotrophic heterotrophic
autumnal summery
autumnal vernal
autumnal wintry
autumnal_equinox vernal_equinox
availability unavailability
available unavailable
avascular vascular
avenged unavenged
avirulent virulent
avoid confront
avow disavow
awake asleep
awaken cause_to_sleep
awakened unawakened
aware unaware
away home
away_game home_game
awed unawed
awkward graceful
awkwardness gracefulness
awned awnless
awnless awned
azonal zonal
back advance
back ahead
back front
back veer
back_burner front_burner
backed backless
background foreground
backhand forehand
backless backed
backward forward
bad good
bad_egg good_egg
bad_guy good_guy
bad_luck good_luck
bad_person good_person
bad_weather good_weather
badly well
badness goodness
balance imbalance
balance unbalance
balanced unbalanced
balconied unbalconied
banded unbanded
baptized unbaptized
bar unbar
bare covered
barreled unbarreled
basic incidental
basipetal acropetal
basiscopic acroscopic
be_active rest
be_born die
be_full starve
be_well suffer
beaked beakless
beakless beaked
bear bull
bearing nonbearing
beautiful ugly
beautify uglify
beauty ugliness
becomingness unbecomingness
bedded bedless
bedless bedded
begin end
beginning end
beginning ending
beginning middle
begrudge wish
behave misbehave
being nonbeing
belief unbelief
believably unbelievably
believe disbelieve
believingly unbelievingly
bellied bellyless
bellyless bellied
below above
belt unbelt
belted unbelted
bend straighten
bend unbend
beneficed unbeneficed
beneficence maleficence
beneficent maleficent
benevolence malevolence
benevolently malevolently
benign malign
benign malignant
benignancy malignancy
benignity malignity
bequeath disinherit
beseeching imperative
best worst
better worse
better worsen
bettering worsening
bibbed bibless
bibless bibbed
bicameral unicameral
bidirectional unidirectional
biennial annual
biennial perennial
big little
big small
bigness littleness
bimodal unimodal
binaural monaural
binaurally monaurally
bind unbind
binucleate mononuclear
binucleate trinucleate
biodegradable_pollution nonbiodegradable_pollution
biological adoptive
biped quadruped
bipedal quadrupedal
bipolar unipolar
birth death
bisexual heterosexual
bisexual homosexual
bivalent multivalent
bivalent univalent
bivalve univalve
black white
black-and-white color
blacken whiten
blame absolve
blemished unblemished
blended unblended
bless curse
blessed cursed
blind sighted
block unblock
blond brunet
bloodily bloodlessly
bloodless bloody
bloodlessly bloodily
bloody bloodless
blow_up reduce
blue-collar white-collar
blunt_file taper_file
blur focus
boarding_school day_school
bodied unbodied
boil freeze
bold timid
boldness timidity
bolt unbolt
boneless bony
bony boneless
boo applaud
bordered unbordered
bore interest
born unborn
borrow lend
borrower lender
bottle-fed breast-fed
bottlefeed breastfeed
bottom side
bottom top
bottom-up top-down
bottom_out top_out
bottomed bottomless
bottomless bottomed
bounce clear
bound free
bound unbound
bowed plucked
box unbox
boy girl
boycott patronise
boycott patronize
brachycephalic dolichocephalic
bracteate ebracteate
braid unbraid
brainwashed unbrainwashed
branchiate abranchiate
branchless branchy
branchy branchless
brand-name_drug generic_drug
branded unbranded
brave cowardly
brave timid
break keep
break make
break repair
break_even lose
break_even profit
breakable unbreakable
breakableness unbreakableness
breast-fed bottle-fed
breasted breastless
breastfeed bottlefeed
breastless breasted
breathing breathless
breathless breathing
bridgeable unbridgeable
bridle unbridle
bright dull
brighten darken
brightness dullness
bring take_away
bring_to anesthetize
broad-minded narrow-minded
broad-mindedly narrow-mindedly
broad-mindedness narrow-mindedness
broadly narrowly
broken unbroken
brother sister
brotherly sisterly
brunet blond
buckle unbuckle
bull bear
burden unburden
burdened unburdened
buried unburied
busy idle
button unbutton
buttoned unbuttoned
buy sell
by_all_means by_no_means
by_hand by_machine
by_machine by_hand
by_no_means by_all_means
cacodemon eudemon
cacophonous euphonious
caducous persistent
calced discalced
calcicolous calcifugous
calcifugous calcicolous
calcify decalcify
calculable incalculable
call_option put_option
calm agitate
calm stormy
calmness agitation
camphorated uncamphorated
campylotropous orthotropous
capability incapability
capable incapable
capableness incapableness
capacity incapacity
capitalism socialism
capitalistic socialistic
captor liberator
cardinal ordinal
cared-for uncared-for
careful careless
carefully carelessly
carefulness carelessness
careless careful
carelessly carefully
carelessness carefulness
carinate ratite
carnivorous herbivorous
carnivorous insectivorous
carnivorous omnivorous
carpellate acarpelous
carpeted uncarpeted
carry_to_term miscarry
carved uncarved
carvel-built clinker-built
cash credit
cash_account margin_account
cash_basis accrual_basis
cast_off cast_on
cast_on cast_off
castrated uncastrated
catabolic anabolic
catabolism anabolism
cataclinal anaclinal
catadromous anadromous
catadromous diadromous
catalectic acatalectic
catalectic hypercatalectic
catalyst anticatalyst
cataphatism apophatism
cataphatism doctrine_of_analogy
catarrhine leptorrhine
catarrhine platyrrhine
categorem syncategorem
categorematic syncategorematic
categoreme syncategoreme
cathode anode
cathodic anodic
cationic anionic
caudal cephalic
caudate acaudate
caulescent acaulescent
cauline radical
caulked uncaulked
causative noncausative
cause_to_sleep awaken
caution incaution
cautious incautious
cautiously incautiously
ceilinged floored
cellular noncellular
cenobite eremite
cenobitic eremitic
cenogenesis palingenesis
cenogenetic palingenetic
censored uncensored
center left
center right
central peripheral
centralise decentralise
centrality marginality
centralization decentralization
centralize decentralize
centralized decentralized
centralizing decentralizing
centrally peripherally
centrifugal centripetal
centrifugal_force centripetal_force
centripetal centrifugal
centripetal_force centrifugal_force
cephalic caudal
cerebral emotional
ceremoniously unceremoniously
ceremoniousness unceremoniousness
certain uncertain
certainty uncertainty
certified uncertified
certify decertify
chain unchain
change stay
changeable unchangeable
changeableness changelessness
changed unchanged
changelessness changeableness
characteristic uncharacteristic
characteristically uncharacteristically
charge discharge
charge pay_cash
charged uncharged
charitable uncharitable
chartered unchartered
chaste unchaste
cheap expensive
cheaply expensively
check_in check_out
check_out check_in
cheer complain
cheerful depressing
cheerfully cheerlessly
cheerfulness cheerlessness
cheerfulness uncheerfulness
cheerlessly cheerfully
cheerlessness cheerfulness
child parent
chivalrously unchivalrously
chlamydeous achlamydeous
cholinergic anticholinergic
chondritic achondritic
christian unchristian
chromatic achromatic
chromatic diatonic
chromatic_color achromatic_color
chromatinic achromatinic
chronic acute
chronically acutely
circumstantial_evidence direct_evidence
cismontane tramontane
citizen noncitizen
civil sidereal
civil uncivil
civil_law international_law
civilian military
civilian serviceman
civility incivility
civilized noncivilized
civilly uncivilly
claim disclaim
claim forfeit
clarify obfuscate
clarity obscurity
clarity opacity
clasp unclasp
classical nonclassical
classicism Romanticism
classicist romanticist
classification declassification
classified unclassified
classify declassify
clean dirty
clean unclean
cleanliness uncleanliness
cleanness dirtiness
clear bounce
clear cloudy
clear opaque
clear unclear
clear_up overcast
cleared uncleared
clearheaded confused
clearness unclearness
clement inclement
clergy laity
clergyman layman
climactic anticlimactic
clinker-built carvel-built
clip unclip
clock_in clock_out
clock_out clock_in
clockwise counterclockwise
clog unclog
close distant
close open
close_up open_up
closed open
closed_chain open_chain
closed_circuit open_circuit
closed_interval open_interval
closeness openness
closing opening
clothed unclothed
cloudy clear
clutter unclutter
coarse fine
coarsely finely
coastal inland
coated uncoated
cognizance incognizance
coherence incoherence
coherent incoherent
coherently incoherently
coil uncoil
coiled uncoiled
cold hot
cold-blooded warm-blooded
cold_war hot_war
coldhearted warmhearted
coldness hotness
collapsible noncollapsible
collateral lineal
collected uncollected
collective distributive
colonise decolonise
colonize decolonize
color black-and-white
color colorlessness
color discolor
colored uncolored
colorful colorless
colorless colorful
colorlessness color
colourful colourless
colourless colourful
columned noncolumned
combed uncombed
combinative noncombinative
combined uncombined
combustible noncombustible
come go
come_in go_out
comedy tragedy
comfort discomfort
comfortable uncomfortable
comfortably uncomfortably
commensurate incommensurate
commercial noncommercial
commissioned noncommissioned
committed uncommitted
commodious incommodious
common individual
common uncommon
common_noun proper_noun
commonality individuality
commonness uncommonness
communicate excommunicate
communicative uncommunicative
communicativeness uncommunicativeness
commutable incommutable
compact loose
comparable incomparable
comparably incomparably
compartmented uncompartmented
compassionate uncompassionate
compatibility incompatibility
compatible incompatible
compatibly incompatibly
competence incompetence
competent incompetent
competently incompetently
competition cooperation
competitive noncompetitive
competitively noncompetitively
complain cheer
complaining uncomplaining
complainingly uncomplainingly
complete incomplete
completeness incompleteness
complex simple
complex_instruction_set_computer reduced_instruction_set_computer
complex_instruction_set_computing reduced_instruction_set_computing
complexity simplicity
compliance noncompliance
compliant defiant
complicate simplify
complimentary uncomplimentary
composed discomposed
composure discomposure
compound simple
comprehensibility incomprehensibility
comprehensible incomprehensible
comprehension incomprehension
comprehensive noncomprehensive
comprehensively noncomprehensively
compress decompress
compressibility incompressibility
compressible incompressible
compression decompression
compromising uncompromising
con pro
concave convex
concave_polygon convex_polygon
concavely convexly
concealed unconcealed
concealing revealing
conceit humility
concentrate deconcentrate
concentrated distributed
concentration dilution
concentration distribution
concentric eccentric
concentricity eccentricity
conception misconception
concern unconcern
concerned unconcerned
conciliatory antagonistic
concise prolix
conclusive inconclusive
conclusively inconclusively
conclusiveness inconclusiveness
concrete abstract
concretely abstractly
concreteness abstractness
conditional unconditional
conditionally unconditionally
conditioned unconditioned
conductive nonconductive
conductor insulator
confidence diffidence
confident diffident
confine free
confined invasive
confined unconfined
confirmed unconfirmed
conform deviate
conform_to violate
conformism nonconformism
conformist nonconformist
conformity nonconformity
confront avoid
confused clearheaded
congenial uncongenial
congeniality uncongeniality
congruent incongruent
congruity incongruity
congruous incongruous
congruousness incongruousness
conjunct disjunct
conjunctive disjunctive
connate adnate
connect disconnect
connected unconnected
connectedness disconnectedness
connectedness unconnectedness
connotative denotative
conquerable unconquerable
consanguinity affinity
conscientious unconscientious
conscientiousness unconscientiousness
conscious unconscious
consciously unconsciously
consciousness unconsciousness
consecrate desecrate
consecrated desecrated
consequence inconsequence
consequentially inconsequentially
conservative liberal
conserve waste
considerable inconsiderable
considerate inconsiderate
considerately inconsiderately
consideration inconsideration
consistency inconsistency
consistent inconsistent
consistently inconsistently
consolable inconsolable
consonant vowel
consonantal vocalic
conspicuous inconspicuous
conspicuously inconspicuously
conspicuousness inconspicuousness
constancy inconstancy
constant inconstant
constipated unconstipated
constitutional unconstitutional
constitutionally unconstitutionally
constricted unconstricted
construction misconstruction
constructive destructive
constructiveness destructiveness
consume abstain
consummated unconsummated
consumptive generative
contaminate decontaminate
contaminated uncontaminated
contamination decontamination
contemptible estimable
content discontent
contented discontented
contentment discontentment
contestable incontestable
contested uncontested
continent incontinent
continental intercontinental
continual sporadic
continuance discontinuance
continuant_consonant stop_consonant
continuation discontinuation
continue discontinue
continued discontinued
continuity discontinuity
continuous discontinuous
contract expand
contract_in contract_out
contract_out contract_in
contracted expanded
contraction expansion
contraindicate indicate
contraindication indication
contralateral ipsilateral
contrasty flat
controlled uncontrolled
controversial uncontroversial
controversially uncontroversially
convenience inconvenience
convenient inconvenient
conveniently inconveniently
conventional nuclear
conventional unconventional
conventionality unconventionality
conventionally unconventionally
converge diverge
convergence divergence
convergency divergency
convergent divergent
convergent_thinking divergent_thinking
convertibility inconvertibility
convertible inconvertible
convex concave
convex_polygon concave_polygon
convexly concavely
convict acquit
conviction acquittal
convinced unconvinced
convincing unconvincing
convincingly unconvincingly
cooked raw
cooking_apple eating_apple
cool heat
cool warm
cooperation competition
cooperative uncooperative
coordinating subordinating
coordination incoordination
cork uncork
corporeal incorporeal
corporeality incorporeality
corpuscular_theory wave_theory
corpuscular_theory_of_light wave_theory_of_light
correct falsify
correct incorrect
corrected uncorrected
correctly incorrectly
correctness incorrectness
corrigible incorrigible
corrupt incorrupt
corruptibility incorruptibility
corruptness incorruptness
cortex medulla
cosmopolitan endemic
cosmopolitan provincial
costive laxative
counterclockwise clockwise
counterfactuality factuality
counterfeit genuine
counterrevolutionary revolutionary
couple uncouple
courage cowardice
courteous discourteous
courteously discourteously
courtesy discourtesy
cousinly uncousinly
cover uncover
covered bare
covert overt
covertly overtly
cowardice courage
cowardly brave
crannied uncrannied
crate uncrate
creative uncreative
creativeness uncreativeness
credibility incredibility
